item_id,paper,ref,full_sha,paths,concern_addressed,implemented_change,evidence_location,verification_status,relationship_to_other_versions,in_manuscript_30a6fd19e,notes
N0-01,NeurIPS original (pre-deadline critique response),crosspurp-constraint-2026-05-06 (local) / ancestor of M,72a2dc5238394d3e939bda72f5583bc341d0172d,results/reviewer_dropins/PAPER_PASTE.md,"Pre-submission critiques #1,#2,#6,#9,#10,#11 (three-way compliance split; certificate->bound term swap; post-hoc dual-schedule tuning)",Paste-ready text: Table 1 clean/collapse/failed split; term swap; disclosure that lambda_min=5 and skip-warmup were developed on the same 60-cell grid (lines 96-126),PCRL @ 0176f149e91c02b8e2d202eb25ea9cba8ae019dc:results/reviewer_dropins/PAPER_PASTE.md,"Source-read; text only, no experiment. Disclosure content re-read in this audit","Content incorporated in submitted NeurIPS PDF (sec 5.2, sec 6); source for ORIGINAL_WORK_HANDOFF disclosure",YES (disclosure only: Appendix A lineage; CLAIM_LEDGER O5),"Critique numbers come from an internal pre-submission review (likely an internal pre-submission review), not venue reviews"
N0-02,NeurIPS original (pre-deadline critique response),ancestor of M,a3875c618962044b6de592511d96f196da84e92d,results/reviewer_dropins/PAPER_PASTE_heldout.md; results/reviewer_dropins/heldout_s3_compare.json,Post-hoc tuning of the dual-update schedule on the evaluation grid,"Single-fold held-out retrain: Adult seed 3, 8 pairs, Round-5 schedule","heldout_s3_compare.json (per-cell held vs head R2, std, eff_rank)","Source-read; not recomputed. Reported 6/8 vs 7/8 strict, 1/8 vs 0/8 clean",Same text appears in submitted PDF sec 6 Limitations,NO (M says only that neither choice was validated on a held-out subset),"Optional qualifier for M Appendix A; source wording ""defusing the concern"" overclaims for an 8-cell single fold"
N0-03,NeurIPS original (pre-deadline critique response),ancestor of M,1ea908e981b6b6f000e69b4c3642cb31d151942b,"results/reviewer_dropins/prop6_bound_utilization/{proof_draft.md,verify_bound.py,verify_bound_v2.py,numerical_verification.json,numerical_verification_v2.json}; results/reviewer_dropins/PAPER_PASTE_proposition6_tier2.md",Per-purpose bounds do not bound concatenation (critique #11),Proposition 6: concat R2 <= k*tau/lambda_plus(R); numerical utilization check on Adult checkpoints,"numerical_verification_v2.json (18 rows, R5_baseline + CROSSPURP_canon)","Numerical: bound_holds 18/18, utilization 0.06-0.84 (recounted here). Proof marked ""candidate; user review required""; no later mathematical review covers it",v2 supersedes v1 verification; P6 appears in submitted PDF Appendix C and contributions,NO (M states only exact-zero composition + approximate counterexample),Consistent with M counterexample (lambda_plus tends to 0 there); audit proof before any reuse
N0-04,NeurIPS original (pre-deadline critique response),ancestor of M,a3875c618962044b6de592511d96f196da84e92d,"results/reviewer_dropins/PAPER_PASTE_theory.md; PAPER_PASTE_proposition5.md; zhao_gordon_table.{csv,json}; PAPER_PASTE_proposition7_tier3_attempt.md; PAPER_PASTE_proposition8_tier3_attempt.md; TIER3_ATTEMPT_REPORT.md",Theory critiques (near-optimality; Zhao-Gordon; nonlinear gap),Theory drop-ins; near-optimality certificate explicitly SKIPPED (lines 93-127); Prop 7 shipped as Tier 2.5; Prop 8 RETRACTED 2026-05-07; Tier-3 ABANDONED,same directory,Source-read; skipped/retracted status verified from file text,Prop 5 (Zhao-Gordon) superseded the soft fallback in PAPER_PASTE_theory,"PARTIAL (only ""near-optimality certificate not claimed"": Corrections item 4; CLAIM_LEDGER O6)",Do not revive Prop 8; Prop 7 not re-verified
N0-05,NeurIPS original (pre-deadline critique response),ancestor of M,a3875c618962044b6de592511d96f196da84e92d,results/paper_critique_responses/PAPER_PASTE.md,"Pre-submission critiques #7,#8,#12-#15 (per-purpose decomposition; LAFTR patch; VICReg-below-floor disclosure)",Paste-ready prose and tables,same file,Source-read only,Companion to N0-01 (split between two drafting sessions),NO (encoder-line training results intentionally not reused in M),Pre-submission material; relevant only to lineage
N0-06,NeurIPS original (pre-deadline),crosspurp-constraint-2026-05-06 / ancestor of M,5b0ec09b9005e0688f0768f29d47dac0670e348f,"pcrl/training/v2_trainer.py (cross_purpose_attrs); results/v2_adult_CROSSPURP/{HEADLINE.txt,PAPER_PASTE.md}",Cross-purpose concatenation attack,"Linear-R2 constraint on h_concat; Adult only, no erase layer, 3 seeds x 75 ep",results/v2_adult_CROSSPURP/HEADLINE.txt,"Source-read; not recomputed. Adult flags 14/15 -> 12/15, per-pair 23/24 -> 19/24",Different experiment from N1-04 (not a copy); N1-04 extends it to 3 datasets on the erase-layer architecture,NO,Was a footnote in the submitted paper
N1-01,NeurIPS original (post-submission rebuttal),erase-layer-pilot-2026-05-17 (ancestor of M); cherry-pick copy dbb24f423de6ef6d8379f6b880bd14e394e80763 on cross-purpose-rebuttal and main,96c03d01003a10ed1d797974d54d311b83b60456,"pcrl/models/encoder.py; pcrl/models/lora.py; pcrl/training/v2_trainer.py; experiments/run_v2_dataset.py (--use-erase-layer, --lora-target repr_proj_only); results/rebuttal/erase_layer_pilot/{NEXT_STEPS.md,smoke_adult_s0_5epochs.json}; scripts/build_erase_pilot_comparison.py (65dd5c05063f01bcb9b0da7015595e1edc75dbaf)","Compliance via collapse; strict-R2 misses; sec-6 follow-up ""decouple concept erasure from representation geometry""",Frozen joint-LEACE erase layer between backbone and repr_proj; LoRA only on repr_proj,Raw per-seed results UNCOMMITTED: untracked <main worktree>/results/rebuttal/erase_layer_pilot_aws/**; lambda=1.0 figures quoted in results/rebuttal/erase_layer_vicreg_sweep_aws/HEADLINE.md @ 39c5a84e69bcff54129ee2c16b17d36699dfef4d,"PROVISIONAL: raw not committed; not independently recomputed. Reported strict 54/60 -> 60/60, clean 5/60 -> 0/60. Baseline 54/60 recounted from committed ROUND5/ROUND7 per_seed linear_r2 = 21+16+17; does NOT equal submitted 56/60",Patch-identical duplicates: 96c03d01003a10ed1d797974d54d311b83b60456 == dbb24f423de6ef6d8379f6b880bd14e394e80763; 65dd5c05063f01bcb9b0da7015595e1edc75dbaf == 7be65f9ab820faecec924e48caffb434bfe08f89,NO,"Source-read: backbone is seed-initialised and frozen (never trained), so with repr_proj_only the 128-d features are random features; clean count regresses under published per_dim_std threshold"
N1-02,NeurIPS original (post-submission rebuttal),erase-layer-vicreg-sweep-2026-05-18 (ancestor of M); also rebuttal-evidence,39c5a84e69bcff54129ee2c16b17d36699dfef4d,"results/rebuttal/erase_layer_vicreg_sweep_aws/{HEADLINE.md,HEADLINE_PARTIAL.md,comparison_table.tex,diagnostic_perdim_std.json,v2_adult_ERASE_VICREG5/*,v2_hmda_ERASE_VICREG5/*}; scripts/diagnose_perdim_std_floor.py; code flag d837248ba647cca8352802d76ec8c7bf8ed00e9e; infra 67427e7bf0ac8d9372907011fb34e987275a003d",Whether the cleanly-compliant (per_dim_std>=0.5) gap is caused by the erasure mechanism,lambda_vicreg 1.0 -> 5.0 sweep; deterministic backbone per_dim_std diagnostic at 4 forward-path points,diagnostic_perdim_std.json; v2_*_ERASE_VICREG5/per_seed_results.json,"Light recompute in this audit: Adult 24/24 (mean R2 0.0077), HMDA 18/18 (0.0056); diagnostic max std 0.289 < 0.5 over 36 values. Diabetes lambda=5 missing (time cap). Indexed with SHA256 in ORIGINAL_WORK_HANDOFF (f4bdf4cd5bf74c634feeec50aef78bff249667e4)",HEADLINE_PARTIAL.md superseded by HEADLINE.md; same files carried unchanged into rebuttal-evidence and all research/* refs,NO (only indexed in ORIGINAL_WORK_HANDOFF as source material),"Do not repeat ""unreachable by any mechanism"" or the Prop-4 appeal (P4 concerns LoRA-as-eraser, not this architecture)"
N1-03,NeurIPS original (post-submission rebuttal),rebuttal-evidence (ancestor of M),5739d3bb94c7ab57afe190c8e2da704e1ee2dd5e,"results/rebuttal/erase_rank8_diabetes_cpu/{HEADLINE.md,v2_diabetes_ERASE_RANK8/per_seed_results.json,v2_diabetes_ERASE_RANK8/summary.json}; code flag 2787c83fc22b1b841b9d2e5715f9fd9f6e9e10a1","Diabetes LoRA rank-24 justification; sec-6 ""principled rank sweep""; labelled R1(c)","LoRA rank 8 vs 24 under the erase-layer architecture, Diabetes 3 seeds",per_seed_results.json,"Light recompute in this audit: 18/18 strict, R2 0.0043-0.0087, med_change acc 0.798/0.767/0.692 (mean 75.2% vs 99.9% at rank 24). Indexed with SHA256 in ORIGINAL_WORK_HANDOFF","Code flag duplicated: 98c4d3ca2bee6e9d72a628b620b5883b08f4f43f (branch diabetes-rank8-ablation-2026-05-30) == 2787c83fc22b1b841b9d2e5715f9fd9f6e9e10a1 (same patch-id, same parent)",NO,"Diabetes only; rank-24 baseline figures come from the erase pilot (N1-01, raw uncommitted)"
N1-04,NeurIPS original (post-submission rebuttal),cross-purpose-rebuttal-2026-05-18 (NOT ancestor of M; 8 commits ahead),d39211214314ec0027c345fafef035287fc98a2d,"results/rebuttal/cross_purpose/{PLAN.md,HEADLINE.txt,PAPER_PASTE.md,unified_protocol_results.json}; scripts/crosspurp/{run_eval_multi.py,build_report_multi.py,unified_protocol_reeval.py,build_unified_protocol_comparison.py}; infra/cross_purpose/*; also 4390835a197bf1b5cabad188872c72d7c0e04d54, f4813f348ce6475f20baec4a8df3815e9e968386, 01496a38346dc0911c73ee966aba4f3f9da7068c, 486645bc5ecc4494e4743eb0b689617b41d34415, 2b6defa51faed3408790ea50171e43e0b40a844b","sec-5.5 cross-purpose concatenation attack (""R3 strongest complaint"")","Cross-purpose h_concat constraint combined with the erase layer on Adult+HMDA+Diabetes, 3 seeds; re-evaluated under the submission protocol (gain over best single-purpose auditor)","unified_protocol_results.json; checkpoints only in s3://pcrl-bios-overnight-20260504/archive/cross_purpose_{ab,diabetes}/ (existence not checked)",Light recompute in this audit: 8/33 flags from JSON; 22/33 from paper-body/tables/cross_purpose_attack_extra.tex. Attack models not rerun,"Supersedes an earlier 19/33 majority-baseline draft (likely untracked results/rebuttal/cross_purpose/{attack_matrix.md,comparison.*} in main worktree, not opened). Extends N0-06",NO (not in M history),Confounded: arms differ by erase layer AND dual; no erase-only arm. Max over auditor seeds on the test split. Diabetes best_epoch=0 on all seeds (LEACE initialisation). In-loop feasibility 0/200
