claim_id,current_wording,intended_contribution,exact_source_version,method_variant,assumptions,evidence,prior_art,status,severity,repair,manuscript_location
C01,We formalise this purpose-specific release problem … per-recipient and coalition views,"problem formulation: channel beside immutable H for one recipient; A, B and AB forbidden","main.tex@30a6fd19e :24-29,:91-95","F4 (also F2, F3)",H frozen; channel for A only,evaluation.py roles @f4bdf4cd5bf74c634feeec50aef78bff249667e4,Erdogdu&Fawaz 2015; Taylor et al. 2026; Sankar 2013 Thm 3,supported after narrowing,major,"cite the closest prior; call it a formulation for third-party frozen services, not new in concept (PRIOR_ART_MATRIX)",":24-29, contributions item 1, §II"
C02,"independently fitted attackers, additional disclosure against the fixed-service baseline, negative increments unclipped",measurement contract,"main.tex@30a6fd19e :70-72,:97-113",F4,"attackers fit on own pool, validation-selected, continuous H","evaluation.py:269-270,316-333 @f4bdf4cd5bf74c634feeec50aef78bff249667e4; ATTACK_CALIBRATION.json",Stadler et al. 2024 Def. 2 (leakage over a baseline view),supported as stated,minor,none beyond C03,:70-72
C03,"It is a floor on what is recoverable, never a ceiling",interpretation of recovery numbers,main.tex@30a6fd19e :110-111,F4,—,fixture F9: increment 0.6365 nats with I(S;Z|H)=0,McAllester&Stratos 2020 (MI estimation limits),refuted,major,tex/measurement.tex: absolute recovery lower-bounds I(S;view); the increment bounds neither way,:109-113
C04,"a channel that must serve a permitted task while limiting what that recipient, and that recipient colluding with another, can newly infer",coalition protection of the evaluated release,main.tex@30a6fd19e :23-29,T0_L_0.01_a17 (local),policy L imposes only A constraints,"HEADLINE_EVIDENCE nominees; MATH_REPLAY_FINAL_anchor{0,1,2}.json: AB CMI 0.0119-0.0177 > 0.01",Taylor et al. 2026 (collusion constraints),supported after narrowing,major,abstract clause in MANUSCRIPT_PATCH P2; §method sentence on local vs coalition,":23-29,:195-200"
C05,aggregate one-hot score can conceal a much larger sensitive direction … dominant-axis audit exposes,audit caution with empirical example,"main.tex@30a6fd19e :73-76,:121-133; V2_DOMINANT_AXIS_LATEST_SUMMARY.md@0176f149e91c02b8e2d202eb25ea9cba8ae019dc","F1 (Adult R5, HMDA R5, Diabetes R7, final.pt)",in-sample ridge λ=1e-6 on test representations,"DOMINANT_AXIS_REPLAY.json (numerical replay: means reproduce; 0.027/0.288 = HMDA underwriting/race s1, rarest class)",variance-weighted R² (definition); Hotelling CCA,supported after narrowing,minor,"DA = max OvR, a lower bound on the best direction (F3); caption: in-sample on test representations",:121-142 Table I
C06,we give the exact convex-combination identity behind it,identity as a contribution,main.tex@30a6fd19e :75-76; NOVELTY_AND_SCOPE item 3,—,"shared rows, centering and ridge",F2 exact; THEORY_REPAIRS T2 proof,variance-weighted multi-output R² (e.g. scikit-learn),known result or implementation property,major,"present it as an observation, not an original identity (M7)",:73-76
C07,"The identity itself was validated on every multi-class pair-seed, maximum absolute residual 0.0021",numerical validation,main.tex@30a6fd19e :132-133,F1,—,replay: 31/33 cells within 2e-5; 2 Adult s0 cells 4.5e-4 and 2.1e-3 from a float32 aggregate path @135e440e; HISTORICAL_PRECISION_DIAGNOSTIC.json,—,supported after narrowing,minor,MANUSCRIPT_PATCH P6 sentence; Adult mean 0.0082 under float64 reconstruction,:132-133
C08,zero affine R² … withdrawn … the corresponding API now refuses to run,correction,main.tex@30a6fd19e :144-151,pcrl/purposes/verification.py,—,F1 exact; retired on research branches since 5f162ab3; STILL ACTIVE on origin/main 55e4cb1,LEACE Thm 3.1 (convex losses only),supported after narrowing,major,"apply patches/0001 to main, or qualify 'in the evaluated code'",:149
C09,The valid statement is narrower and about squared loss only,valid replacement statement,main.tex@30a6fd19e :149-151,—,"Cov(h,A)=0","LEACE Thm 3.1, 3.4",LEACE,supported after narrowing,minor,any loss convex in the affine prediction; not thresholded accuracy (M6),:149-151
C10,"composition is exact only at exact zero … h1=N+δS, h2=N−δS",composition boundary,main.tex@30a6fd19e :153-156,—,same distribution,"F4, F11 (λ_min bound tight = 1)",LEACE Thm 3.4; Rayleigh–Ritz,supported as stated,minor,add the λ_min lemma (tex/composition.tex) and the Z1=SV nonlinear example,:153-156
C11,A label-free code T=g(X_A) … same label-free code,method object,"main.tex@30a6fd19e :191,:280",T0 (residual residence-logit quantile cells),—,encoding.py fit_encoder/Codebook.fit @f4bdf4cd5bf74c634feeec50aef78bff249667e4; PROTOCOL.md:17,—,refuted,blocking,"T is a residence-supervised code of (PCA32,H_A) (EARLY_FINDINGS E1)",":191,:280"
C12,"each conditional mutual information is affine in Q inside a jointly convex relative entropy, so the feasible set is convex",convexity,main.tex@30a6fd19e :198-200,F4 finite programme,"fixed p(s,c,t), cost D, dictionary, partition; Z–T–(S,C)",THEORY_REPAIRS T8; F10 spot-check,Calmon&Fawaz 2012; standard,known result or implementation property,minor,"keep; add that solver optimality is reported, not certified (no dual bound)",:195-200
C13,δ_r binds a conditional mutual information in a fitted finite model whose conditioning view is a coarsened partition,scope of guarantee,main.tex@30a6fd19e :210-214,F4,2 cells for A; 4 for AB,encoding.py ServicePartitions (n_local=2); F5,—,supported after narrowing,major,state the cell counts (EARLY_FINDINGS E3),:210-214
C14,Why a replacement can beat an extension … design example,design fixture,main.tex@30a6fd19e :216-221,fixture,"H constant; Y,S independent fair bits",F6 exact,—,supported as stated,minor,none,:216-221
C15,Q reduces residence log loss relative to J by 0.01625 / 0.01639 with adjusted bounds excluding zero,empirical operating point,main.tex@30a6fd19e :233-236,T0_L_0.01_a17,2018 development pools reused; 3 anchors share people; Bonferroni m=706 z=3.97,HEADLINE_EVIDENCE @f4bdf4cd5bf74c634feeec50aef78bff249667e4; T1 Tier-A recomputation 38/38; T2 TASK_DIRECTED_VERIFICATION (not re-run by T3; z=3.97 arithmetic checked),—,supported as stated,none,keep development-evidence qualifiers,:233-236 Table II
C16,"All eight sensitive point estimates favour Q, only one adjusted bound resolves",empirical,main.tex@30a6fd19e :255-259,same,same,same,—,supported as stated,none,none,:255-259
C17,D17 … slightly better task point estimate … lower sensitive point estimates in 7/8 … all ten adjusted differences unresolved,matched deterministic control,main.tex@30a6fd19e :261-268,D17,same,T1 status (verified from arrays),—,supported as stated,none,keep visible; do not call domination,:261-268
C18,Neither risk refinement nor coalition conditioning obtained its registered attribution: the nominated release is local,attribution,main.tex@30a6fd19e :299-301,nominees,—,HEADLINE_EVIDENCE nominees; RESULTS_AT_A_GLANCE,—,supported as stated,none,move 'local' earlier (C04),:299-301
C19,"The obstacle was quantization, not redundancy",withdrawn subsumption reading,main.tex@30a6fd19e :303-309,replacement-channel diagnosis,—,T2 CORRECTIONS_FINAL C3 (source-read by T2; not recomputed by T3),—,unverified because a specific source or computation is missing,minor,T3 did not recompute; keep T2's source citation,:303-309
C20,Rassouli and Gündüz give … the linear-programme form of the zero-budget linear-cost problem,attribution,"main.tex@30a6fd19e :176-177,:203-204",—,—,"arXiv:1712.08500 Thm 1 (MI utility), Remark 2 (unproved for other utilities)",Rassouli&Gündüz,refuted,major,M1 wording,":176-177,:203-204"
C21,the conditional extension U-FaTE,attribution,main.tex@30a6fd19e :171,—,—,arXiv:2404.09454,U-FaTE,refuted,minor,M3 wording,:170-173
C22,Multi-user and side-information formulations … design a sanitised release for many consumers,closest prior,main.tex@30a6fd19e :179-180,—,—,Sankar 2013; Liao 2019; Taylor 2026,Taylor et al. 2026; Erdogdu&Fawaz 2015,refuted,major,M4/M5 wording and bib additions,:179-181
C23,"We claim no new optimisation result … what is ours is the release contract, the per-recipient and coalition constraint structure",novelty scope,"main.tex@30a6fd19e :181-183,:206-208",F4,—,PRIOR_ART_MATRIX,Calmon&Fawaz 2012; Salamatian 2015; Erdogdu&Fawaz 2015; Taylor 2026,supported after narrowing,major,the coalition constraint structure has a close antecedent (Taylor 2026); use the novelty paragraph,":181-183,:206-208"
