family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,audit_uninformative_anchors,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
primary,primary|U_nominee|D17|utility:A/same_residence|U,U_nominee,NM1_U,U,D17,utility:A/same_residence,U,task,-0.003,-0.00015349237304719722,0.0009821922031886955,-0.003323241149015104,0.0030162564029207095,False,False,False,False,,-0.00046047711914159166,0.0,0.0
primary,primary|U_nominee|D17|utility:A/same_residence|PWGTP,U_nominee,NM1_U,U,D17,utility:A/same_residence,PWGTP,task,-0.003,-2.0142495945923897e-05,0.0011161638912397256,-0.003622247172149503,0.003581962180257655,False,False,False,False,,-6.042748783777169e-05,0.0,0.0
primary,primary|U_nominee|D17|attack:A/SEX|U,U_nominee,NM1_U,U,D17,attack:A/SEX,U,guard,0.001,0.00041627240346593474,0.0008605223030349468,-0.0023608210288406967,0.0031933658357725663,False,True,False,False,,0.0012488172103978042,0.0,0.0
primary,primary|U_nominee|D17|attack:A/SEX|PWGTP,U_nominee,NM1_U,U,D17,attack:A/SEX,PWGTP,guard,0.001,0.0009509118891362638,0.0009160125619708901,-0.0020052607292699105,0.0039070845075424385,False,True,False,False,,0.0028527356674087913,0.0,0.0
primary,primary|U_nominee|D17|attack:A/RAC1P|U,U_nominee,NM1_U,U,D17,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,,0.0,0.0,0.0
primary,primary|U_nominee|D17|attack:A/RAC1P|PWGTP,U_nominee,NM1_U,U,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,,0.0,0.0,0.0
primary,primary|U_nominee|D17|attack:AB/SEX|U,U_nominee,NM1_U,U,D17,attack:AB/SEX,U,guard,0.001,0.0012215560343970947,0.0008090325822755203,-0.001389368822327018,0.0038324808911212073,False,False,False,False,,0.0036646681031912843,0.0,0.0
primary,primary|U_nominee|D17|attack:AB/SEX|PWGTP,U_nominee,NM1_U,U,D17,attack:AB/SEX,PWGTP,guard,0.001,0.0014197280934682014,0.0009419997206741215,-0.0016203107623434703,0.004459766949279873,False,False,False,False,,0.004259184280404604,0.0,0.0
primary,primary|U_nominee|D17|attack:AB/RAC1P|U,U_nominee,NM1_U,U,D17,attack:AB/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,,0.0,0.0,0.0
primary,primary|U_nominee|D17|attack:AB/RAC1P|PWGTP,U_nominee,NM1_U,U,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,,0.0,0.0,0.0
