id,claim,status,source_commit,source_file,estimand,split,weighting,uncertainty,correction_family,verification,limitations,paper_location
T1,The selected task-directed release Q improves residence log loss over J by 0.01625 (unweighted) / 0.01639 (person-weighted) nats.,SUPPORTED,f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json fixed_task_path + nominees.utility_first.J_utility_bounds,paired difference in residence log loss vs same-host J,"2018 development, validation-selected predictors",both,"paired household bootstrap, 5473 households, 3 shared-people anchors","Bonferroni simultaneous, m=706, z=3.97",recomputed in TASK_DIRECTED_VERIFICATION.json,Development pools reused across this project; conditional on fitted releases; not a confirmation.,sec:eval Table II
T2,All eight primary sensitive point estimates favour Q over J.,SUPPORTED (point estimates),f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json nominees.utility_first.J_privacy_bounds,difference in audited attacker log-loss recovery vs J,2018 development,both,same,same,recomputed,Point estimates only; direction is not significance.,"sec:eval Table II, Fig 2"
T3,The registered competitiveness conjunction is not established: 7 of 8 adjusted non-inferiority bounds fail.,NOT ESTABLISHED,f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json competitive_passed + privacy bounds,one-sided adjusted non-inferiority,2018 development,both,same,same,"recomputed (only AB/SEX unweighted resolves, upper -0.00007)",NOT evidence of excess disclosure; seven endpoints are unresolved at this precision.,sec:eval
T4,Q used authorised residence supervision that J never received.,SUPPORTED (design fact),f4bdf4cd5bf74c634feeec50aef78bff249667e4,PROTOCOL.md; DATA_USE.md; INTERPRETATION_ADDENDUM_2026-09-22.md,label access,n/a,n/a,n/a,n/a,source-read,The comparison establishes neither unseen-task transfer nor an isolated optimiser benefit.,sec:eval
T5,"D17 (same code, same 17-action dictionary, unconstrained) attains a slightly better task point estimate and lower sensitive point estimates in 7 of 8 cells; all ten adjusted differences are unresolved.",SUPPORTED (points); UNRESOLVED (bounds),f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json; NARRATIVE_MANIFEST.json primary_sensitive_points,point comparison Q vs D17,2018 development,unweighted points,adjusted differences unresolved,m=706,recomputed 7/8,Not established inferiority of Q and not equivalence; the stochastic machinery is not shown to buy anything here.,sec:eval Table III
T6,D33 has better task point estimates and mixed sensitive comparisons.,SUPPORTED (points),f4bdf4cd5bf74c634feeec50aef78bff249667e4,same,point comparison,2018 development,unweighted,n/a,n/a,recomputed (mixed direction),Not an overall dominating method; its cap feasibility was not established.,sec:eval Table III
T7,Neither risk refinement nor coalition conditioning obtained its registered attribution; the nominee is local.,NOT ESTABLISHED,f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json nominees.*.attribution,registered attribution claims,2018 development,both,n/a,n/a,recomputed (all attribution flags false),Beating J alone cannot attribute a benefit to coalition machinery.,sec:eval
T8,"Execution counts: 81 nominal primary maps (54+18+9), 126 of 162 nominal maps scheduled and completed, 125 reduced exact kernel groups, 36 prospectively unscheduled, 297 audits/evaluations.",SUPPORTED,f4bdf4cd5bf74c634feeec50aef78bff249667e4,HEADLINE_EVIDENCE.json counts/kernel_groups; PROTOCOL.md; MATH_VALIDATION.md,resource accounting,n/a,n/a,n/a,n/a,recomputed; 126+36=162 reconciles,"Resource counts are supporting information, not scientific contributions.",app:counts
R1,"The earlier 'already subsumed by J' explanation is withdrawn; a controlled diagnosis attributes the effect to quantization, not redundancy.",CORRECTED,e3415b94deb8d71c4870d4c392bb8ad4b464a847,replacement study stage_R evidence,residence loss of unquantized A-side view vs J,2018 development,both,paired household bootstrap,frozen family of 68,source-read at the pinned commit; the earlier claim was already withdrawn on precision grounds in the predecessor review,"The new supervised task study is a distinct experiment, not a retroactive correction to a reserved-task result.",sec:eval; sec:corrections
O1,"A pooled one-hot R2 is a prevalence-weighted average of per-class scores, so it can conceal a rare-class direction that a per-class (dominant-axis) audit exposes (HMDA multi-class 0.0192 vs 0.0609; one cell 0.027 vs 0.288 on the rarest class, prevalence 0.9%).",SUPPORTED (audit caution; the identity itself is NOT original),0176f149e91c02b8e2d202eb25ea9cba8ae019dc,results/V2_DOMINANT_AXIS_LATEST_SUMMARY.md,aggregate vs dominant-axis R2 on canonical checkpoints,historical encoder-line evaluation,prevalence-weighted,none reported,n/a,"source-read at pin; T3 replay reproduces the stored aggregate within 2e-5 in 31 of 33 cells, two exceptions traced to a single-precision aggregate in the historical evaluation code","The identity is the familiar variance-weighted multi-output R2 (T3 M7), not a new result. The dominant axis is the largest per-class OvR score, itself only a LOWER bound on the best linear sensitive direction. In-sample ridge scores on held-out test representations.",sec:audit Table I
