claim_id,claim_wording,source,data_split,inference_scope,verdict,finding,replacement_wording,numerical_result_changed,regenerating_command
C01,"Existing income, employment and coverage prediction vectors are released bitwise unchanged in every condition.",results/redesign_20260917_acs_spectral_transport_v1/METHOD_AND_SCOPE.md §1; TRANSPORT_RESULTS.md §8,all 2017 release partitions,structural property of the construction,supported,Verified on 210 released views (3 seeds x 5 partitions x 14 interfaces); 0 violations. Independent of any statistical assumption.,no change,no,INDEPENDENT_VERIFICATION.json check source_output_identity
C02,Exact output preservation does not imply stable service accuracy after a year of shift.,results/redesign_20260917_acs_spectral_transport_v1/METHOD_AND_SCOPE.md §1; TRANSPORT_RESULTS.md §9,2017 final partition,the three fixed fitted systems,supported,"Employment log loss rises 0.0138 nats and income falls 0.0145 nats from 2018 to 2017, on identical released vectors.",no change,no,python -m experiments.pcrl_evidence_review_v1.tradeoff_tables --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (SERVICE_QUALITY_SUMMARY.csv)
C03,The A-only residual spectral channel adds residence capability beyond the fixed services.,"results/redesign_20260917_acs_spectral_transport_v1/RESEARCH_DECISION.md; TRANSPORT_RESULTS.md §2, §8","2017 final partition, Modes A and B","the three fixed fitted systems, under the tested probes",supported with an omitted qualification,"The >=0.01-nat rule over H passes in every seed, weighting and mode. The report does not say beside it that the stronger half-headroom reference criterion (against PCA32 and the richer banks) fails in 2 or 3 of 3 seeds for every interface in every mode. Reporting only the H-relative rule flatters the capability claim.","Add: the gain is real relative to the published service, but no interface comes close to the capability of the unrestricted PCA32/rich-bank references (half-headroom passes in 0-2 of 3 seeds).",no,"read results/redesign_20260917_acs_spectral_transport_v1/evidence/CRITERIA_SUMMARY.csv columns half_headroom_pass_seeds, source_allowance_pass_seeds"
C04,"spectral_C1 has a simultaneous-interval advantage over both spectral_L1 and spectral_L2 under both weightings, with the residence difference inside the prespecified 0.001 band.","results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §1, §4; PAPER_DRAFT.md abstract and §7","Mode B, transport_all, budget 360, 2017 final partition","people in the 2017 final partition, three fixed fitted systems, tested attack families",supported as a rule outcome; overstated as an interval statement,"The advantage half reproduces exactly (8 of 8 sensitive endpoints better, 0 worse; c=2.930106). The registered residence rule is `residence_difference <= .001 + 1e-12` on the SEED-MEAN POINT estimate and is one-sided, not a two-sided band. No F1 residence interval lies inside +/-0.001: the simultaneous intervals reach 0.00176, 0.00175, 0.00191 and 0.00172, and even a pointwise one-sided 95% bootstrap upper bound is above the margin in all four (0.00112, 0.00103, 0.00135, 0.00102).","The registered rule passed. Retrospectively, the data do not establish noninferiority at 0.001: 0 of 4 comparisons have an upper confidence bound below the margin, under any of the procedures we computed.",no (the rule outcome is unchanged; the interval claim is new and negative),python -m experiments.pcrl_evidence_review_v1.reanalyse_transport --study <local> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (EQUIVALENCE_F1.csv)
C05,Every spectral arm leaks several times more sex and race than a frozen adversarially trained channel of the same width.,results/redesign_20260917_acs_spectral_transport_v1/PAPER_DRAFT.md §7; TRANSPORT_RESULTS.md §1,"Mode B, transport_all, 360, unweighted",tested attack families on the 2017 final partition,supported but scale-dependent and unlabelled,"The ""several times"" ratio is computed on H-relative INCREMENTS (C1 0.0453 vs J 0.0076 on A/race, a factor of 6.0). On ABSOLUTE recovery the same pair is 0.0617 vs 0.0241, a factor of 2.6. The manuscript does not say which scale the ratio uses. The paired DIFFERENCE is identical on both scales (0.0377), because the shared prior and H selection cancel inside a paired contrast.","Report the difference (0.0377 [0.0294, 0.0459] nats on A/race), state both levels, and drop the unlabelled ratio.",no (all three numbers verified),python -m experiments.pcrl_evidence_review_v1.reanalyse_transport --study <local> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (MODEB_TRANSPORT_TABLE.csv)
C06,spectral_C1 versus J fails the same criterion on transport (local race significantly worse).,"results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §1, §5","Mode B, transport_all, 360, family F3",as C04,supported,"F3 fails on two counts, not one: every sensitive endpoint has an adjusted lower bound above zero (A/SEX, AB/SEX, A/RAC1P, AB/RAC1P, both weightings), so the ""no endpoint significantly worse"" clause fails eight times over, and A/RAC1P triggers the separate local-race failure. C1 is better only on residence (-0.0093 [-0.0150, -0.0036]).","State that C1 is significantly worse on all four sensitive endpoints under both weightings, not only on local race.",no,"python -m experiments.pcrl_evidence_review_v1.reanalyse_transport --study <local> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (INDEPENDENT_FAMILIES.csv, family F3_secondary)"
C07,"C1 has more residence utility than J, so the comparison is a tradeoff rather than a dominance result.",results/redesign_20260917_acs_spectral_transport_v1/RESEARCH_DECISION.md; PAPER_DRAFT.md abstract,"Mode B, transport_all, 360",as C04,supported and strengthenable,"Correct, and the randomized-withholding family makes it sharper than the report says. Expected residence gain under the declared mechanism is exactly p times the full-release gain, so the matching probability is identified in closed form. J cannot be made as useful as C1 at any p: it would need p* = 1.49. Only A0 (p*=0.976) and spectral_S0 (p*=0.929) can be withheld down to C1s mean residence gain, and at those p C1 is better on all four sensitive endpoints. In the other direction C1 withheld to Js residence level (p*=0.670) still leaks far more (A/race 0.0303 vs 0.0076).",Add the matched-utility calculation in both directions and label it post-hoc average-utility matching.,"no (new exploratory analysis, arithmetic exact given the declared mixture)",python -m experiments.pcrl_evidence_review_v1.tradeoff_tables --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (WITHHOLDING_MATCHING.csv)
C08,"Every F1 endpoint keeps its development sign (20/20). What changed is resolution, not direction.",results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §12; PAPER_DRAFT.md §7,development 2018 evaluation pool vs 2017 final partition,seed-mean point estimates,overstated,"The 20/20 count is over SEED-MEAN signs. Only 13 of 20 F1 endpoints have all three transport seeds matching the development sign, and across all 90 family endpoints only 48 of 90 have all three seeds agreeing even with their own seed mean. ""Resolution, not direction"" is also incomplete: F1 point estimates moved by factors between 0.054x and 14.8x between the years (C1-L2 AB/SEX went from -0.0003 to -0.0047). A larger sample shrinks standard errors; it does not move point estimates by an order of magnitude. Year, evaluation pool and sample size all changed together and are not separated.","Say: all 20 seed-mean signs agree; 13 of 20 agree in every seed; magnitudes changed by factors of 0.05x to 14.8x, so sample size alone does not explain the change in significance.",no (both the 20/20 and the per-seed counts verified),"python -m experiments.pcrl_evidence_review_v1.tradeoff_tables --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_evidence_review_v1 (PER_SEED_DIRECTION.csv, DEV_VS_TRANSPORT.csv)"
C09,"Under fresh adaptation (Mode B) every interface passes the legacy source-probe allowance in all three seeds, while under frozen transfer (Mode A) every spectral arm fails in 0-1 of 3 seeds.",results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §8,"Modes A and B, 2017 final partition","per seed and weighting, never averaged",contradicted (pass/fail inversion),"The evidence column is source_allowance_PASS_seeds. Mode A spectral arms record 0 or 1, i.e. they PASS in 0-1 of 3 seeds and therefore FAIL in 2-3 of 3. The sentence states the pass count as a fail count and so reports the opposite of the data: as written it implies frozen transfer is nearly clean, when in fact the frozen 2018 source probes fail the allowance in most seeds for every spectral arm.",Under frozen transfer every spectral arm PASSES in only 0-1 of 3 seeds (fails in 2-3 of 3); under fresh adaptation all 14 interfaces pass in 3 of 3.,no (the table was right; the prose inverted it),"read results/redesign_20260917_acs_spectral_transport_v1/evidence/CRITERIA_SUMMARY.csv, column source_allowance_pass_seeds, mode A"
C10,"Two lock amendments are recorded, both code-only.",results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_RESULTS.md §14; VALIDATION.md §3 and §5; PAPER_DRAFT.md §10; REVIEW_INDEX.md,lock chain,audit trail,contradicted (count) / supported (substance),"Three amendment files exist. Amendment 3 (2026-09-17T18:30:13Z) re-binds scripts/report_acs_spectral_transport.py for a CSV-to-gzip serialisation change. It is genuinely code-only and post-dates the last final-partition access (17:54:45Z), so it cannot have touched a score. But the COMMITTED INDEPENDENT_VERIFICATION.json lists only amendments 1 and 2: the verifier was re-run locally after amendment 3 and passes with all three, and that re-run was never committed. An independent recheck of all 17,639 hashed inputs (1.94 GB) with every amendment applied passes with 0 changed, 0 missing and 0 invalid entries.",Three code-only amendments are recorded; all final reads precede the third; the published verification artifact must be regenerated so it lists all three.,"no (no score, selection or interval is affected)",python -m experiments.pcrl_evidence_review_v1.recheck_lock --study <local>/results/redesign_20260917_acs_spectral_transport_v1 --root <local> --out results/pcrl_evidence_review_v1
