id,claim,source,status,proof_coverage,numerical_coverage,assumptions,consequence_or_repair
P01,Both Q and D17 fail the registered ten-clause conjunction (8/10 each),INFERENCE_2016.json @5e154e5c,empirically assessed,IUT size argument (PROTOCOL §8) re-read,"all 20 bounds recomputed, max err 3.5e-18",nominal asymptotic; conditional on fitted releases/attackers/selection,none; reproduced
P02,All eight sensitive clauses pass for each release,same,empirically assessed,—,recomputed; also pass under one-sided Bonferroni over 8/10/20 (post hoc),pointwise bounds; measured attacker CE vs J,state 'relative to J'; own recovery beyond H positive (6/8 for Q)
P03,'capping added recovery at +0.001 nats' (main.tex@8df7527c:355-356),manuscript,refuted,clause is CE_J - CE_M <= .001,Q recovery beyond H 0.0034-0.0060 on 6/8 (descriptive),—,tex/prospective_fragments.tex P-1
P04,Task improvement over J (sign) on 2016,same,empirically assessed,—,"all 4 task UBs < 0; holds under Bonferroni-20 (post hoc, descriptive)",not a registered hypothesis,"report as sign, not as the registered claim"
P05,Registered -0.003 task minimum,same,empirically assessed,—,"not met: UBs -0.00151/-0.00187 (Q), -0.00291/-0.00295 (D17); Q point estimates beyond margin",—,"P-3 wording: margin-sized effect unresolved, not absent"
P06,D17 better than Q on task,"SECONDARY (70 endpoints, z=3.384)",empirically assessed,—,"unweighted resolved (+0.00148 [0.00033,0.00262]); PWGTP unresolved; 0/8 sensitive resolved",separate family,not domination; optional wording
P07,Ten pointwise bounds as simultaneous 97.5% coverage,PRIMARY_CLAIMS.json,refuted,Bonferroni gives only >=75% joint coverage,—,—,P-2 caption
M01,"Chain rule I(S;Z|H)=I(S;Z|B)+I(H;Z|S,B)-I(H;Z|B)",assignment,proved,textbook chain rule (Cover&Thomas 2.5.2),exact XOR + overstatement; 300 random tables,B=b(H); finite quantities,identity only; no estimate or bound
M02,Binned constraint certifies full-view CMI,study usage,refuted,XOR/G8 counterexamples,exact,—,"needs Prop 3 (T indep H | S,B), violated by T0 by construction"
M03,max_t KL(Q_t||r)<=kappa => I(S;Z|W)<=kappa for any side info W,assignment,proved,written proof; minimax equality cited (van Erven-Harremoes Thm 34),400 random laws 0 violations; exact tightness BSC(1/4),"fixed kernel, fresh randomness, supp Q_t within supp r; state-dependent Q per state; views must contain state","standard mathematics, not a PCRL theorem"
M04,Same kappa bounds I(Y;Z|H)=Bayes incremental task log-loss gain,assignment,proved,written proof,exact BSC,as M03,not a bound on gain over finite J probe; kappa is not the +.001 cap
M05,SDPI: I(S;Z|H)<=eta_TV(Q) H(S|H),this review,proved,Polyanskiy-Wu eq.17 + Thm 1 (CKZ98),300 random laws 0 violations,as M03,usually looser than radius (299/300)
M06,Evaluated D17 has a useful distribution-free guarantee,—,refuted,"deterministic kernel: eta_TV=1, radius=log(#actions)<=log17",exact,—,"vacuous vs log2, log9"
M07,Evaluated Q has a useful distribution-free guarantee,—,unverified,kernel only in private archive,—,—,run kernel_guarantees.py on the archived kernel
M08,Robust envelope constraint convex in Q,method proposal,proved,pointwise sup of convex,midpoint check 0 violations,law set fixed,—
M09,Worst-case oracle by sampling scenarios,method proposal,refuted,convex maximisation -> vertices,sampled 0.0142 vs exact 0.0502,—,enumerate vertices or use radius bound
M10,Bin-level calibrated radius covers continuous H,method proposal,refuted,G5c exact,exact,—,needs H-smoothness or within-bin homogeneity (conditional)
M11,Universal (all-law) attribute guarantee for a useful kernel,method proposal,refuted,G6: any kernel with two reachable distinct rows,exact,unrestricted envelope,restrict envelope or use radius
M12,Attribute-specific full-H certificate with calibrated envelope,method proposal,conditional,Prop 3 or Lipschitz assumption + exact vertex oracle,deterministic-17 example: radius 0.0239 TV needed for 0.01 nats,smoothness/homogeneity; household/weight/selection-aware calibration,adaptation of Diaz et al. uniform mechanisms/RLDP; value requires empirical win over matched-kappa kernel
C01,Approximate composition R2(concat)<=sum R2_p/lambda_min(R),original Prop 6,proved,COMPOSITION_LEMMA.tex (i)-(iv),2000 random covariances 0 violations (pooled/per-column/CCA); exact tightness,Sigma_p>0; same distribution,elementary Rayleigh-Ritz lemma
C02,Ridge form requires unregularised premise (claims T3-12),claims audit 33124f96,refuted,COMPOSITION_LEMMA (iii): lambda_min(R)<=1,20000 random 0 violations,same tau in every score,AMENDMENT_2026-09-23_ridge_premise.md (stronger statement)
C03,Max-single-class bound bounds contrasts,—,refuted,claims fixture F3 (max OvR 3/4 vs contrast 1),exact,—,report per-class and CCA separately
R01,fix/retire-accuracy-guarantee removes the false guarantee without losing valid coverage,5d4eda04,empirically assessed,code read; deleted tests all assert refuted bound,4 retirement tests pass locally; full suite not rerun (no torch),—,approve; follow-up patch for R1/R2/R4
R02,Branch adds no new suite failures vs clean main,owner report,unverified,—,pytest cache lists the same 7 torch failures; clean-main run not observed,—,rerun both suites where torch exists
A01,Taylor et al. per-party + collusion MI constraints,arXiv:2601.21859,empirically assessed,abstract/listing read here; sections via audit notes,—,—,closest antecedent for coalition budgets
A02,Diaz et al. rates transfer to I(S;Z|H),tit20.pdf,refuted,"paper: finite alphabets, no adversary side information, Shannon MI outside technique",—,—,do not transfer rates
