id,section,claim,type,value,source_commit,source_artifact,endpoint_or_table,data_pool,evaluation_status,attack_scope,uncertainty_procedure,limitation,regeneration_command
C01,Abstract (i); §3,"The released income, employment and coverage probability vectors are identical bitwise in every condition; preservation is structural, not statistical.",structural,"210 of 210 released views, 0 violations",0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/redesign_20260917_acs_spectral_transport_v1/INDEPENDENT_VERIFICATION.json,check source_output_identity,"ACS 2017 final partition, all interfaces","structural check, not an outcome",n/a,none required (exact equality),"Appending a vector while leaving another untouched is a property of concatenation, not a theorem. It says nothing about the appended channel.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.recheck_verification --study-root <study worktree> --published results/redesign_20260917_acs_spectral_transport_v1 --out results/pcrl_manuscript_review_v2
C02,Abstract (i); §3; §7.7,Exact output preservation does not imply stable service accuracy after a year shift.,empirical,civilian_at_work +0.0138 nats; income_binary -0.0145 nats; public_coverage -0.0067 nats,0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/SERVICE_QUALITY_SUMMARY.csv,Table: criteria,ACS 2018 development vs ACS 2017 final partition,"2017 confirmatory pool, descriptive endpoint","n/a (service loss, not an attack)",point estimates only; no interval attached to this contrast,Two survey years of the same state and age band; the years differ in more than calendar time and this design does not separate the causes.,PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C03,Abstract (ii); §7.2,"On the sealed 2017 partition, the coalition-conditioned penalty C1 has a simultaneous-interval advantage over BOTH local controls under BOTH weightings, and the registered advantage rule fired in every cell.",empirical,advantage rule fired in 4 of 4 contrast x weighting cells; critical value 2.930106 over 20 endpoints,0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_DECISION.json,families.F1_primary.decisions,"ACS 2017 final partition, 10,701 households, 15,924 rows","CONFIRMATORY (locked, pre-registered rules, sealed until the lock)","Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates","paired household-cluster bootstrap, 2000 replicates over 10,701 final-partition households; single-step studentised max-|t| inside the pre-declared family","No directional prediction was registered: this is a prespecified-rule confirmation, not a called shot. Three seeds are three fixed fitted systems.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C04,Abstract (ii); §7.2; §9 item 11,"THE DENOMINATOR. Of the F1 sensitive cells (2 contrasts x 4 roles x 2 weightings), most but not all are strictly better; none is worse; two are unresolved. The earlier ""8 of 8 sensitive endpoints better under both weightings"" is withdrawn.",empirical,"14 of 16 strictly better, 0 worse, 2 unresolved (both unresolved cells are recovery/A/SEX unweighted)",0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/redesign_20260917_acs_spectral_transport_v1/TRANSPORT_DECISION.json,Table: denominators; Figure: forest_primary,ACS 2017 final partition,CONFIRMATORY,"Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates","paired household-cluster bootstrap, 2000 replicates over 10,701 final-partition households; single-step studentised max-|t| inside the pre-declared family","An unresolved cell is undecided, not unaffected: up to 5e-4 nats of extra local sex recovery is not excluded.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C05,Abstract (iii); §7.3,"The registered residence criterion is a ONE-SIDED POINT rule on the seed mean. It passed. The interval evidence does not establish non-inferiority at the same 0.001 margin, under any procedure computed.",empirical,"registered point rule passed 4 of 4; non-inferior under a pointwise one-sided bound in 0 of 4; simultaneous upper bounds 0.00166, 0.00164, 0.00182, 0.00162",0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/EQUIVALENCE_F1.csv,Table: equivalence; endpoint utility/same_residence,ACS 2017 final partition,CONFIRMATORY rule; RETROSPECTIVE interval reading,n/a (utility endpoint),"paired household-cluster bootstrap, 2000 replicates over 10,701 final-partition households; single-step studentised max-|t| inside the pre-declared family; plus a pointwise one-sided bootstrap percentile with no multiplicity adjustment","""No statistically detected cost"" is not ""a cost bounded below 0.001"". The retrospective reading does not replace the registered outcome.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C06,Abstract (iv); §7.5,"C1 is significantly worse than the frozen neural channel J on every sensitive endpoint under both weightings, and better on residence.",empirical,"8 of 8 sensitive cells significantly worse; residence -0.00932 [-0.01500, -0.00363] unweighted",0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/INDEPENDENT_FAMILIES.csv,family F3_secondary,ACS 2017 final partition,CONFIRMATORY (registered secondary comparison),"Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates","paired household-cluster bootstrap, 2000 replicates over 10,701 final-partition households; single-step studentised max-|t| inside the pre-declared family","J is an INTERNAL adversarially trained channel, not an external benchmark. Neither channel Pareto-dominates the other: J carries less residence capability. No state-of-the-art claim is supported in either direction.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C07,Abstract (iv); §7.6,"The C1-vs-J ordering survives matching the two channels on average utility, in both directions; several comparators cannot reach C1 utility at any schedule.",empirical,"J needs p*=1.493 (>1); unreachable comparators: E, J, L025, L20; C1 withheld to J residence level (p*=0.670) still at 0.0303 vs J 0.0076 on A/race",0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/WITHHOLDING_MATCHING.csv,Table: withholding_matching; Figure: withholding,ACS 2017 final partition,POST-HOC (p* estimated from the same data as the outcome),"Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates",none: p* is a closed-form point quantity; the fixed-p intervals do not transfer to it,"Post-hoc, and it matches an average over people who receive different information. A finite control list failing to dominate C1 is not evidence that C1 is efficient (1-3 of 180 and 0-3 of 180 in the fixed-p grid).",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C08,§7.1; §7.7,"Every augmented interface clears the 0.01-nat residence reference over H, but the stronger half-headroom reference fails for every interface in both modes.",empirical,half-headroom passing seeds across all interfaces and modes: 0-2 of 3; frozen-transfer source-probe allowance for spectral arms: 0-1 of 3 PASSING,0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/SERVICE_VS_PROBE.csv,Table: criteria,ACS 2017 final partition,CONFIRMATORY (reference criteria),"utility probes, not attacks",per-seed pass counts; no interval,The column counts PASSING seeds; an earlier sentence inverted it. Residence capability is real relative to H and far short of an unrestricted representation of the same covariates.,PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C09,§7.4,Absolute and additional (H-relative) recovery are different quantities and are reported separately; negative increments are retained unclipped.,empirical,H alone already recovers 0.0165 nats of A/race and 0.0141 of AB/sex; C1 additional A/race 0.0453 vs J 0.0076; 22 of 429 unweighted role-cells negative,0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/pcrl_evidence_review_v1/MODEB_TRANSPORT_TABLE.csv,Table: absolute_vs_additional; Figure: absolute_vs_additional,ACS 2017 final partition,CONFIRMATORY,"Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates","paired differences carry paired household-cluster bootstrap, 2000 replicates over 10,701 final-partition households; single-step studentised max-|t| inside the pre-declared family","A negative increment is a property of validation selection, not protection: H's own attack, routed onto the augmented wire, remains executable. attack strength is a floor, not a bound; no certificate, no conditional-independence claim, no mutual-information bound",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
C10,§7.8,"Seed-mean sign agreement with development overstates per-seed agreement, and magnitudes moved by large factors between the years.",empirical,20 of 20 F1 seed means agree with development; 13 of 20 agree in every seed; magnitude ratios 0.054x to 14.8x,0d8f4b67b6d4961dfa133289d0167c874d2f4794,"results/pcrl_evidence_review_v1/PER_SEED_DIRECTION.csv, results/pcrl_evidence_review_v1/DEV_VS_TRANSPORT.csv",Figure: per_seed,ACS 2018 development and ACS 2017 final partition,"mixed: development vs confirmatory, never pooled","Mode B, scope transport_all (fresh + catch-up + frozen-2018 candidates, wire and derived spaces), budget 360; logistic, 2 restarted MLPs, 2 boosted-tree and kernel-ridge families, plus legal projections of H and singleton candidates",per-seed point values; no per-seed interval,"Sample size alone does not explain a fifteen-fold change in a point estimate, and this design does not separate year, pool and attacker-set changes.",PYTHONPATH=. python -m experiments.pcrl_manuscript_v2.make_assets_v2 --repo . --out papers/pcrl_manuscript_v2
